Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,59,86,67.000000,1,1,1,67.111,97.823,0.000
1,1,143,121,9.000000,1,1,1,162.659,137.635,0.000
1,1,99,291,85.000000,1,1,1,112.610,331.006,0.000
1,1,177,301,116.000000,1,1,1,201.333,342.380,0.000
1,1,84,390,32.000000,1,1,1,95.548,443.616,0.000
1,1,129,472,43.000000,1,1,1,146.734,536.889,0.000
1,1,185,472,77.000000,1,1,1,210.433,536.889,0.000
1,1,104,632,65.000000,1,1,1,118.298,718.885,0.000
1,1,168,625,98.000000,1,1,1,191.096,710.923,0.000
1,1,184,588,111.000000,1,1,1,209.296,668.836,0.000
1,1,30,413,130.000000,1,1,1,34.124,469.778,0.000
1,1,97,71,147.000000,1,1,1,110.335,80.761,0.000
2,1,85,388,28.000000,1,1,1,96.686,441.341,0.000
2,1,129,472,43.000000,1,1,1,146.734,536.889,0.000
2,1,103,632,10.000000,1,1,1,117.160,718.885,0.000
2,1,168,625,98.000000,1,1,1,191.096,710.923,0.000
2,1,183,588,124.000000,1,1,1,208.158,668.836,0.000
2,1,60,86,69.000000,1,1,1,68.249,97.823,0.000
2,1,29,414,87.000000,1,1,1,32.987,470.915,0.000
2,1,143,122,7.000000,1,1,1,162.659,138.772,0.000
