Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,134,114,88.000000,1,1,1,152.422,129.672,0.000
1,1,178,77,100.000000,1,1,1,202.471,87.586,0.000
1,1,27,273,70.000000,1,1,1,30.712,310.531,0.000
1,1,52,251,11.000000,1,1,1,59.149,285.507,0.000
1,1,110,323,80.000000,1,1,1,125.122,367.405,0.000
1,1,150,340,27.000000,1,1,1,170.621,386.742,0.000
1,1,110,391,72.000000,1,1,1,125.122,444.753,0.000
1,1,58,426,68.000000,1,1,1,65.974,484.565,0.000
1,1,20,551,92.000000,1,1,1,22.750,626.750,0.000
1,1,74,618,81.000000,1,1,1,84.173,702.961,0.000
1,1,49,698,46.000000,1,1,1,55.736,793.959,0.000
1,1,117,665,47.000000,1,1,1,133.085,756.422,0.000
1,1,57,727,55.000000,1,1,1,64.836,826.945,0.000
1,1,133,431,51.000000,1,1,1,151.284,490.252,0.000
1,1,74,429,63.000000,1,1,1,84.173,487.977,0.000
1,1,66,564,155.000000,1,1,1,75.073,641.537,0.000
2,1,150,340,27.000000,1,1,1,170.621,386.742,0.000
2,1,65,564,61.000000,1,1,1,73.936,641.537,0.000
2,1,74,619,83.000000,1,1,1,84.173,704.098,0.000
2,1,50,699,75.000000,1,1,1,56.874,795.096,0.000
2,1,60,728,24.000000,1,1,1,68.249,828.083,0.000
2,1,116,665,84.000000,1,1,1,131.947,756.422,0.000
