Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,68,80,59.000000,1,1,1,77.348,90.998,0.000
1,1,160,58,29.000000,1,1,1,181.996,65.974,0.000
1,1,132,93,72.000000,1,1,1,150.147,105.785,0.000
1,1,102,198,62.000000,1,1,1,116.023,225.220,0.000
1,1,148,271,41.000000,1,1,1,168.347,308.256,0.000
1,1,91,340,78.000000,1,1,1,103.510,386.742,0.000
1,1,160,435,48.000000,1,1,1,181.996,494.802,0.000
1,1,40,409,45.000000,1,1,1,45.499,465.228,0.000
1,1,58,562,53.000000,1,1,1,65.974,639.262,0.000
1,1,184,745,41.000000,1,1,1,209.296,847.420,0.000
1,1,12,727,79.000000,1,1,1,13.650,826.945,0.000
1,1,154,320,13.000000,1,1,1,175.171,363.992,0.000
1,1,184,352,152.000000,1,1,1,209.296,400.392,0.000
1,1,168,184,59.000000,1,1,1,191.096,209.296,0.000
1,1,154,710,139.000000,1,1,1,175.171,807.608,0.000
1,1,74,660,62.000000,1,1,1,84.173,750.735,0.000
1,1,41,499,82.000000,1,1,1,46.637,567.601,0.000
1,1,165,173,59.000000,1,1,1,187.684,196.783,0.000
2,1,42,497,10.000000,1,1,1,47.774,565.326,0.000
2,1,76,658,64.000000,1,1,1,86.448,748.460,0.000
2,1,12,728,81.000000,1,1,1,13.650,828.083,0.000
2,1,159,435,65.000000,1,1,1,180.859,494.802,0.000
2,1,59,563,67.000000,1,1,1,67.111,640.399,0.000
2,1,154,709,51.000000,1,1,1,175.171,806.471,0.000
2,1,184,352,152.000000,1,1,1,209.296,400.392,0.000
2,1,153,317,158.000000,1,1,1,174.034,360.580,0.000
2,1,92,337,58.000000,1,1,1,104.648,383.330,0.000
