Image,Object ID,Classification,Centroid Y µm,Nucleus: Channel 3 mean
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,89eea6c6-839e-4353-bd4f-6a55a93897a2,ASPA-,5.542,1.4643
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,f130f612-480a-4027-8c49-920a8d9ded6d,ASPA-,6.931,1.8947
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,aa829bc8-fdde-4d48-97cc-6dc3fa043985,ASPA-,11.4,2.2083
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,4116a463-8b99-4da5-a705-52cb592fe592,ASPA+,13.51,28.7037
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,da50f9a2-703f-41e9-a10e-8b1c6f03c1a1,ASPA-,16.44,2.05
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,a94267e7-24dd-446d-817f-d3f01b88919a,ASPA-,23.87,1.7241
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,f3be2e06-ff18-4138-9b2b-2617b96a294c,ASPA-,33.27,1.3333
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,350ad5fb-2732-4160-82f1-57c24e30bc60,ASPA-,40.2,1.1786
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,12de96fe-e9ac-41eb-9cda-230a62696bef,ASPA-,42.51,1.2571
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,54769798-6548-48e6-8e3e-6e2245ca973d,ASPA-,42.53,1.7576
