Image,Object type,Name,Num Detections,Num ASPA+,Num ASPA-
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,199,42,157
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,175,45,130
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s2h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,275,67,208
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529552_M_KO_s1h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,199,30,169
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529552_M_KO_s1h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,186,28,158
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529552_M_KO_s2h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,205,34,171
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551834_M_KO_s1h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,153,26,127
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551834_M_KO_s1h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,180,41,139
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551834_M_KO_s2h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,170,30,140
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551932_M_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,214,61,153
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551932_M_WT_s1h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,202,42,160
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551932_M_WT_s2h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,234,59,175
