Image,Object ID,Classification,Centroid Y µm,Nucleus: Channel 3 mean
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,14f9e3a8-98ee-4815-9c5d-86f0a9bd3ea4,ASPA-,5.65,1.5294
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,e1296314-325c-43a2-b793-b31350232483,ASPA-,6.768,1.9583
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,fd358c64-fea2-4f22-9562-929be6f8e5b3,ASPA-,11.48,2.1786
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,fc2a6348-a9f6-4a4b-b195-164315b8d687,ASPA+,13.25,27.4688
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,348df63f-4f15-4e65-a329-b371ecee95fe,ASPA-,16.25,2.2593
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,1dec6545-ebba-4a22-9227-a59042f69e56,ASPA-,23.98,1.6571
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,dba4be3c-5c58-440c-bdd9-115a1dac7157,ASPA-,33.14,1.2973
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,cfaf8d50-ab16-4e32-94c3-fe997deca5ce,ASPA-,40.26,1.2333
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,1ffbc42b-c512-4d9e-b5f7-3b5ab61db491,ASPA-,42.29,1.2222
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,b7eb04a8-9649-43d6-b108-6df80196ae88,ASPA-,42.52,1.7576
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,303252ee-be79-48b5-afeb-f347699f44b9,ASPA-,43.1,1.8929
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,fea1f91e-e11e-4a23-b27d-a4f0ebee0674,ASPA-,48.26,2.7941
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,9e6012b9-d254-4256-a8c7-108e628d9809,ASPA-,51.19,2.72
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,b4b2b155-fc4e-44f4-a064-78ff3fc2fef3,ASPA-,52.55,4.7778
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,41585eb3-5e13-4683-a73c-396698ad3aeb,ASPA-,63.47,1.8333
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,3596802a-2a9a-4f83-8429-fe9ea22413d0,ASPA-,63.42,2.0698
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,14d1c689-4889-4170-beec-e09f484d0775,ASPA-,68.58,1.2353
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,ad815f49-460c-4f68-9f7c-8a49e7b5fea6,ASPA-,76.25,2.1667
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,bcc83268-7429-4421-aa95-3b112e74db79,ASPA-,82.16,2.3143
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,f9da42e0-e5a9-456c-9d7c-3b30e5f7d9af,ASPA-,107.89,2.4706
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,f3f91918-9912-41f9-b254-21fab7f39063,ASPA-,107.72,1.7778
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,1b66e4ef-d371-43b6-a6e9-c0176ea903c5,ASPA-,113.3,2.6207
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,18d41241-ae88-4ea3-930b-518d2952621b,ASPA-,119.6,1.9143
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,89f13911-3651-48cd-9851-acfddc4ab260,ASPA-,122.36,1.8158
