Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,126,97,165.000000,1,1,1,143.322,110.335,0.000
1,1,164,167,67.000000,1,1,1,186.546,189.959,0.000
1,1,65,315,89.000000,1,1,1,73.936,358.305,0.000
1,1,67,499,49.000000,1,1,1,76.211,567.601,0.000
1,1,75,204,90.000000,1,1,1,85.311,232.045,0.000
1,1,84,192,114.000000,1,1,1,95.548,218.395,0.000
1,1,14,323,89.000000,1,1,1,15.925,367.405,0.000
1,1,162,339,50.000000,1,1,1,184.271,385.605,0.000
1,1,114,601,64.000000,1,1,1,129.672,683.623,0.000
1,1,53,615,34.000000,1,1,1,60.286,699.548,0.000
1,1,101,655,49.000000,1,1,1,114.885,745.047,0.000
1,1,113,529,81.000000,1,1,1,128.535,601.725,0.000
1,1,34,222,16.000000,1,1,1,38.674,252.520,0.000
2,1,113,602,48.000000,1,1,1,128.535,684.761,0.000
2,1,102,652,65.000000,1,1,1,116.023,741.635,0.000
2,1,162,337,39.000000,1,1,1,184.271,383.330,0.000
2,1,11,323,84.000000,1,1,1,12.512,367.405,0.000
2,1,34,223,33.000000,1,1,1,38.674,253.657,0.000
