Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,85,137,10.000000,1,1,1,96.686,155.834,0.000
1,1,40,166,182.000000,1,1,1,45.499,188.821,0.000
1,1,184,167,13.000000,1,1,1,209.296,189.959,0.000
1,1,55,280,59.000000,1,1,1,62.561,318.493,0.000
1,1,89,389,127.000000,1,1,1,101.235,442.478,0.000
1,1,90,397,137.000000,1,1,1,102.373,451.578,0.000
1,1,51,634,69.000000,1,1,1,58.011,721.160,0.000
1,1,187,692,75.000000,1,1,1,212.708,787.134,0.000
1,1,80,490,26.000000,1,1,1,90.998,557.364,0.000
1,1,186,506,30.000000,1,1,1,211.571,575.563,0.000
1,1,141,320,81.000000,1,1,1,160.384,363.992,0.000
1,1,153,101,135.000000,1,1,1,174.034,114.885,0.000
1,1,25,265,74.000000,1,1,1,28.437,301.431,0.000
1,1,2,246,13.000000,1,1,1,2.275,279.819,0.000
2,1,143,319,10.000000,1,1,1,162.659,362.855,0.000
2,1,88,388,138.000000,1,1,1,100.098,441.341,0.000
2,1,91,398,99.000000,1,1,1,103.510,452.716,0.000
2,1,189,690,52.000000,1,1,1,214.983,784.859,0.000
2,1,55,281,72.000000,1,1,1,62.561,319.631,0.000
2,1,0,245,7.000000,1,1,1,0.000,278.682,0.000
