Image,Object ID,Classification,Centroid Y µm,Cell: Channel 4 mean
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,34f3067c-e776-4492-b410-2da62a6abf1e,Pdgfra+,5.542,14.1744
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,e0f496b8-2af0-46a3-aa00-e445de598b6b,Pdgfra-,6.931,2.2239
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,9f8697ec-87d4-491a-9bff-907295d13db2,Pdgfra+,11.4,21.8831
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,9bfaca57-8271-4900-b20a-fbf5e92211c0,Pdgfra-,13.51,2.2235
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,9d8f4b94-997f-4f1c-9b99-45662a175525,Pdgfra+,16.44,18.8592
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,180257a4-f226-48a8-9c59-6be70b904372,Pdgfra-,23.87,2.4194
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,03a31652-4d85-49b0-a147-55e88c8f16bf,Pdgfra+,33.27,9.3939
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,b9157b4d-4a54-47fe-9a65-95b131699ff5,Pdgfra-,40.2,5.4048
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,d425f079-196b-46b6-b8a5-5050f1039821,Pdgfra+,42.51,11.3529
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,d71a808d-a267-4106-995d-fa8e599a6751,Pdgfra+,42.53,20.967
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,61b2300b-d705-4ee6-89c9-ed5082630f20,Pdgfra+,43.07,13.5181
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,a0e462fb-1ffe-4dde-80a7-e4efb2cea043,Pdgfra+,48.01,11.011
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,0a3a74ca-4ae2-4676-8beb-9b61acbf91b6,Pdgfra+,51.26,15.4
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,1368cc07-891c-4a5a-9a4c-014d886576c3,Pdgfra+,52.5,20.9
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,52b90a2a-c3c5-4e2c-a3b5-55551222ff67,Pdgfra+,65.12,11.0809
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,3fe55357-e674-433b-b2b8-e5d8e771bd6b,Pdgfra-,63.43,2.7059
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,52803e10-e649-42c9-ad2c-f9aaa59e8839,Pdgfra-,63.4,1.549
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,4ee1afa0-efb2-4d56-b598-c51e9732b5d4,Pdgfra+,76.34,13.5
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,991839f8-472b-4f92-9db5-5eb49fe83ef7,Pdgfra+,82.41,8.5895
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,1ca809cb-0df0-4901-af0d-76c8bb7d1e56,Pdgfra+,107.65,8.9882
