Image,Height,Width
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_529551_F_WT_s1h1_Merged.tif_rotated.tif,812,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_529551_F_WT_s1h2_Merged.tif_rotated.tif,801,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_529551_F_WT_s2h1_Merged.tif_rotated.tif,831,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_529552_M_KO_s1h1_Merged.tif_rotated.tif,745,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_529552_M_KO_s1h2_Merged.tif_rotated.tif,760,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_529552_M_KO_s2h1_Merged.tif_rotated.tif,822,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_551833_M_WT_s1h1_Merged.tif_rotated.tif,936,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_551833_M_WT_s2h2_Merged.tif_rotated.tif,824,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_551834_M_KO_s1h1_Merged.tif_rotated.tif,810,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_551834_M_KO_s1h2_Merged.tif_rotated.tif,798,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_551834_M_KO_s2h1_Merged.tif_rotated.tif,822,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_551932_M_WT_s1h1_Merged.tif_rotated.tif,846,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_551932_M_WT_s1h2_Merged.tif_rotated.tif,780,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_551932_M_WT_s2h1_Merged.tif_rotated.tif,862,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_551933_M_KO_s1h1_Merged.tif_rotated.tif,729,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_551933_M_KO_s1h2_Merged.tif_rotated.tif,735,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_551933_M_KO_s2h2_Merged.tif_rotated.tif,752,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_551935_M_KO_s1h1_Merged.tif_rotated.tif,844,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_551935_M_KO_s1h2_Merged.tif_rotated.tif,799,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_551935_M_KO_s2h1_Merged.tif_rotated.tif,794,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_551937_F_WT_s1h1_Merged.tif_rotated.tif,780,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_551937_F_WT_s1h2_Merged.tif_rotated.tif,800,200
Markers_Counter Window - MAX_20250908_CTNND2_ASTRO_oligostain_juvenile_set2_MBP_Bcas1_551937_F_WT_s2h1_Merged.tif_rotated.tif,759,200
