Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron),Image Name
1,1,25,360,127.0,1,1,1,28.437,409.492,0.0,529551_F_WT_s1h1
1,1,47,153,119.0,1,1,1,53.461,174.034,0.0,529551_F_WT_s1h1
1,1,164,116,34.0,1,1,1,186.546,131.947,0.0,529551_F_WT_s1h1
1,1,7,42,98.0,1,1,1,7.962,47.774,0.0,529551_F_WT_s1h1
1,1,5,98,56.0,1,1,1,5.687,111.473,0.0,529551_F_WT_s1h1
1,1,3,403,122.0,1,1,1,3.412,458.403,0.0,529551_F_WT_s1h1
1,1,128,334,153.0,1,1,1,145.597,379.917,0.0,529551_F_WT_s1h1
1,1,119,265,157.0,1,1,1,135.36,301.431,0.0,529551_F_WT_s1h1
1,1,96,127,88.0,1,1,1,109.198,144.46,0.0,529551_F_WT_s1h1
1,1,162,172,123.0,1,1,1,184.271,195.646,0.0,529551_F_WT_s1h1
1,1,2,255,77.0,1,1,1,2.275,290.057,0.0,529551_F_WT_s1h1
1,1,11,240,61.0,1,1,1,12.512,272.994,0.0,529551_F_WT_s1h1
1,1,193,563,37.0,1,1,1,219.533,640.399,0.0,529551_F_WT_s1h1
1,1,172,190,112.0,1,1,1,195.646,216.121,0.0,529551_F_WT_s1h1
2,1,3,405,138.0,1,1,1,3.412,460.678,0.0,529551_F_WT_s1h1
2,1,194,565,13.0,1,1,1,220.67,642.674,0.0,529551_F_WT_s1h1
1,1,47,89,130.0,1,1,1,53.461,101.235,0.0,529551_F_WT_s1h2
1,1,65,353,119.0,1,1,1,73.936,401.529,0.0,529551_F_WT_s1h2
1,1,88,529,103.0,1,1,1,100.098,601.724,0.0,529551_F_WT_s1h2
1,1,83,463,71.0,1,1,1,94.411,526.651,0.0,529551_F_WT_s1h2
1,1,97,216,114.0,1,1,1,110.335,245.695,0.0,529551_F_WT_s1h2
1,1,93,627,66.0,1,1,1,105.785,713.197,0.0,529551_F_WT_s1h2
1,1,129,488,232.0,1,1,1,146.734,555.088,0.0,529551_F_WT_s1h2
1,1,153,444,32.0,1,1,1,174.034,505.039,0.0,529551_F_WT_s1h2
1,1,62,562,135.0,1,1,1,70.524,639.261,0.0,529551_F_WT_s1h2
1,1,31,37,199.0,1,1,1,35.262,42.087,0.0,529551_F_WT_s1h2
1,1,121,41,165.0,1,1,1,137.635,46.636,0.0,529551_F_WT_s1h2
2,1,64,351,116.0,1,1,1,72.798,399.254,0.0,529551_F_WT_s1h2
2,1,153,445,46.0,1,1,1,174.034,506.176,0.0,529551_F_WT_s1h2
2,1,129,489,226.0,1,1,1,146.734,556.225,0.0,529551_F_WT_s1h2
2,1,84,462,68.0,1,1,1,95.548,525.514,0.0,529551_F_WT_s1h2
2,1,86,528,53.0,1,1,1,97.823,600.587,0.0,529551_F_WT_s1h2
2,1,94,629,40.0,1,1,1,106.923,715.472,0.0,529551_F_WT_s1h2
1,1,13,53,68.0,1,1,1,14.787,60.286,0.0,529551_F_WT_s2h1
1,1,140,39,165.0,1,1,1,159.247,44.362,0.0,529551_F_WT_s2h1
1,1,148,66,22.0,1,1,1,168.347,75.073,0.0,529551_F_WT_s2h1
1,1,157,122,68.0,1,1,1,178.584,138.772,0.0,529551_F_WT_s2h1
