Image,Object type,Name,Num Detections,Num ASPA+,Num ASPA-
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,178,35,143
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529552_M_KO_s1h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,170,26,144
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529552_M_KO_s1h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,171,21,150
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529552_M_KO_s2h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,187,28,159
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551834_M_KO_s1h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,129,19,110
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551834_M_KO_s1h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,167,35,132
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551834_M_KO_s2h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,137,21,116
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551932_M_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,184,51,133
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551932_M_WT_s1h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,175,32,143
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551932_M_WT_s2h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,212,49,163
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551933_M_KO_s1h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,136,23,113
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551933_M_KO_s2h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,144,33,111
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551933_M_KO_s2h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,163,35,128
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551935_M_KO_s1h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,194,32,162
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551935_M_KO_s2h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,209,32,177
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551935_M_KO_s2h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,210,50,160
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551943_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,223,52,171
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551943_F_WT_s2h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,141,15,126
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551943_F_WT_s2h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,162,44,118
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551944_M_KO_s1h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,210,45,165
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551944_M_KO_s2h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,222,43,179
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551944_M_KO_s2h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,212,54,158
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551948_M_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,224,68,156
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551948_M_WT_s2h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,224,72,152
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551948_M_WT_s2h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,255,75,180
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,156,41,115
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s2h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,238,59,179
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551941_F_KO_s1h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,208,47,161
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551941_F_KO_s1h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,202,50,152
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551941_F_KO_s2h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,236,55,181
