Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,43,662,60.000000,1,1,1,48.911,753.009,0.000
1,1,28,524,55.000000,1,1,1,31.849,596.038,0.000
1,1,42,33,113.000000,1,1,1,47.774,37.537,0.000
1,1,119,348,29.000000,1,1,1,135.360,395.842,0.000
1,1,184,467,94.000000,1,1,1,209.296,531.202,0.000
1,1,187,412,117.000000,1,1,1,212.708,468.640,0.000
1,1,17,462,146.000000,1,1,1,19.337,525.514,0.000
1,1,45,484,83.000000,1,1,1,51.186,550.539,0.000
1,1,47,570,49.000000,1,1,1,53.461,648.362,0.000
1,1,168,564,43.000000,1,1,1,191.096,641.537,0.000
1,1,24,608,52.000000,1,1,1,27.299,691.586,0.000
1,1,33,608,82.000000,1,1,1,37.537,691.586,0.000
1,1,82,619,78.000000,1,1,1,93.273,704.098,0.000
1,1,127,729,26.000000,1,1,1,144.460,829.220,0.000
1,1,110,856,54.000000,1,1,1,125.122,973.680,0.000
1,1,173,793,153.000000,1,1,1,196.783,902.019,0.000
1,1,14,909,64.000000,1,1,1,15.925,1033.966,0.000
1,1,29,870,91.000000,1,1,1,32.987,989.605,0.000
1,1,3,842,7.000000,1,1,1,3.412,957.755,0.000
1,1,97,783,136.000000,1,1,1,110.335,890.644,0.000
1,1,157,849,62.000000,1,1,1,178.584,965.718,0.000
2,1,45,483,75.000000,1,1,1,51.186,549.401,0.000
2,1,127,730,28.000000,1,1,1,144.460,830.358,0.000
2,1,98,783,84.000000,1,1,1,111.473,890.644,0.000
2,1,174,791,54.000000,1,1,1,197.921,899.744,0.000
2,1,189,412,54.000000,1,1,1,214.983,468.640,0.000
2,1,119,347,30.000000,1,1,1,135.360,394.704,0.000
2,1,26,607,31.000000,1,1,1,29.574,690.448,0.000
2,1,110,853,47.000000,1,1,1,125.122,970.268,0.000
2,1,156,847,10.000000,1,1,1,177.446,963.443,0.000
2,1,5,844,8.000000,1,1,1,5.687,960.030,0.000
2,1,28,868,95.000000,1,1,1,31.849,987.330,0.000
2,1,15,907,18.000000,1,1,1,17.062,1031.691,0.000
