Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,85,29,120.000000,1,1,1,96.686,32.987,0.000
1,1,78,99,47.000000,1,1,1,88.723,112.610,0.000
1,1,46,163,90.000000,1,1,1,52.324,185.409,0.000
1,1,42,256,151.000000,1,1,1,47.774,291.194,0.000
1,1,79,285,168.000000,1,1,1,89.861,324.181,0.000
1,1,134,190,66.000000,1,1,1,152.422,216.121,0.000
1,1,147,591,118.000000,1,1,1,167.209,672.249,0.000
1,1,162,444,129.000000,1,1,1,184.271,505.040,0.000
1,1,60,292,122.000000,1,1,1,68.249,332.143,0.000
1,1,131,93,28.000000,1,1,1,149.009,105.785,0.000
1,1,198,266,27.000000,1,1,1,225.220,302.569,0.000
1,1,122,515,24.000000,1,1,1,138.772,585.800,0.000
2,1,123,514,20.000000,1,1,1,139.910,584.663,0.000
2,1,166,446,23.000000,1,1,1,188.821,507.315,0.000
2,1,149,592,31.000000,1,1,1,169.484,673.386,0.000
2,1,199,266,57.000000,1,1,1,226.358,302.569,0.000
