Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,16,143,17.000000,1,1,1,18.200,162.659,0.000
1,1,101,109,61.000000,1,1,1,114.885,123.985,0.000
1,1,183,93,51.000000,1,1,1,208.158,105.785,0.000
1,1,110,310,50.000000,1,1,1,125.122,352.618,0.000
1,1,70,253,73.000000,1,1,1,79.623,287.782,0.000
1,1,140,398,76.000000,1,1,1,159.247,452.716,0.000
1,1,168,469,107.000000,1,1,1,191.096,533.477,0.000
1,1,18,481,73.000000,1,1,1,20.475,547.126,0.000
1,1,86,575,47.000000,1,1,1,97.823,654.049,0.000
1,1,120,175,23.000000,1,1,1,136.497,199.058,0.000
1,1,121,428,27.000000,1,1,1,137.635,486.840,0.000
2,1,112,309,26.000000,1,1,1,127.397,351.480,0.000
2,1,18,478,6.000000,1,1,1,20.475,543.714,0.000
2,1,86,573,56.000000,1,1,1,97.823,651.774,0.000
2,1,141,396,49.000000,1,1,1,160.384,450.441,0.000
2,1,120,428,33.000000,1,1,1,136.497,486.840,0.000
