Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,152,109,60.000000,1,1,1,173.764,124.607,0.000
1,1,130,122,41.000000,1,1,1,148.614,139.469,0.000
1,1,124,227,137.000000,1,1,1,141.755,259.503,0.000
1,1,38,274,120.000000,1,1,1,43.441,313.233,0.000
1,1,41,357,19.000000,1,1,1,46.871,408.117,0.000
1,1,122,386,180.000000,1,1,1,139.469,441.269,0.000
1,1,57,468,76.000000,1,1,1,65.162,535.011,0.000
1,1,159,551,152.000000,1,1,1,181.766,629.895,0.000
1,1,175,533,14.000000,1,1,1,200.057,609.318,0.000
1,1,48,724,141.000000,1,1,1,54.873,827.666,0.000
1,1,144,668,24.000000,1,1,1,164.619,763.648,0.000
1,1,110,758,29.000000,1,1,1,125.750,866.534,0.000
1,1,16,564,33.000000,1,1,1,18.291,644.756,0.000
1,1,56,600,106.000000,1,1,1,64.018,685.911,0.000
1,1,194,735,88.000000,1,1,1,221.778,840.241,0.000
1,1,104,820,65.000000,1,1,1,118.891,937.412,0.000
2,1,18,562,41.000000,1,1,1,20.577,642.470,0.000
2,1,49,724,121.000000,1,1,1,56.016,827.666,0.000
2,1,104,818,15.000000,1,1,1,118.891,935.125,0.000
2,1,176,532,14.000000,1,1,1,201.201,608.174,0.000
2,1,56,468,77.000000,1,1,1,64.018,535.011,0.000
2,1,157,551,96.000000,1,1,1,179.480,629.895,0.000
2,1,55,600,66.000000,1,1,1,62.875,685.911,0.000
