Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,113,73,88.000000,1,1,1,128.535,83.036,0.000
1,1,53,51,52.000000,1,1,1,60.286,58.011,0.000
1,1,99,209,40.000000,1,1,1,112.610,237.732,0.000
1,1,109,175,22.000000,1,1,1,123.985,199.058,0.000
1,1,6,155,122.000000,1,1,1,6.825,176.309,0.000
1,1,96,123,73.000000,1,1,1,109.198,139.909,0.000
1,1,103,486,9.000000,1,1,1,117.160,552.813,0.000
1,1,102,450,122.000000,1,1,1,116.023,511.864,0.000
1,1,75,617,78.000000,1,1,1,85.311,701.822,0.000
1,1,53,638,12.000000,1,1,1,60.286,725.709,0.000
1,1,33,677,60.000000,1,1,1,37.537,770.071,0.000
1,1,104,654,7.000000,1,1,1,118.298,743.909,0.000
1,1,49,429,65.000000,1,1,1,55.736,487.977,0.000
1,1,110,287,69.000000,1,1,1,125.122,326.455,0.000
1,1,142,221,13.000000,1,1,1,161.522,251.382,0.000
1,1,12,204,68.000000,1,1,1,13.650,232.045,0.000
1,1,40,566,108.000000,1,1,1,45.499,643.811,0.000
2,1,53,636,113.000000,1,1,1,60.286,723.434,0.000
2,1,104,653,7.000000,1,1,1,118.298,742.771,0.000
2,1,49,429,65.000000,1,1,1,55.736,487.977,0.000
2,1,40,566,108.000000,1,1,1,45.499,643.811,0.000
2,1,103,484,11.000000,1,1,1,117.160,550.538,0.000
2,1,96,122,79.000000,1,1,1,109.198,138.772,0.000
