"Animal","Genotype","Hemisphere","Slice","Total_cells","total_ASPA","total_Pdgfra","Pdgfra_pos_ASPA_pos","Pdgfra_pos_ASPA_neg","Pdgfra_neg_ASPA_pos","Pdgfra_neg_ASPA_neg","max_value","Area","Pdgfra_per_area","ASPA_per_area","Pdgfra_pos_ASPA_pos_per_area","Pdgfra_pos_ASPA_neg_per_area","Pdgfra_neg_ASPA_pos_per_area","Pdgfra_neg_ASPA_neg_per_area","Olig2_per_area"
"529551","WT","1","1",199,42,81,2,79,40,78,722.64,0.467536413965944,173.248537612089,89.8325750581202,4.2777416694343,168.970795942655,85.5548333886859,166.831925107938,425.635296108713
"529551","WT","2","1",175,45,51,1,50,44,80,692.24,0.447868104732349,113.872810903733,100.476009620941,2.23280021379868,111.640010689934,98.243209407142,178.624017103895,390.74003741477
"529551","WT","2","2",277,67,95,1,94,66,116,782.76,0.506433083410802,187.586481041443,132.297833997649,1.97459453727835,185.611886504165,130.323239460371,229.052966324288,546.962686826103
"529552","KO","1","1",201,31,109,2,107,29,63,711.75,0.460490759770093,236.703989574991,67.3194832736214,4.3431924692659,232.360797105725,62.9762908043555,136.810562781876,436.490843161222
"529552","KO","1","2",205,34,113,4,109,30,62,718.07,0.464579697742341,243.230602949573,73.1844292060663,8.6099328477725,234.620670101801,64.5744963582938,133.453959140474,441.259058448341
"551943","WT","1","1",264,72,86,5,81,67,111,781.96,0.505915496325708,169.988863010896,142.316257404471,9.88307343086603,160.10578958003,132.433183973605,219.404230165226,521.826277149726
"551943","WT","2","2",191,53,39,2,37,51,101,778.25,0.503515186218581,77.4554592740122,105.259983115965,3.97207483456473,73.4833844394475,101.287908281401,200.589779145519,379.333146700932
"551944","KO","1","2",254,50,88,5,83,45,121,799.01,0.516946571076786,170.230358268357,96.7217944706575,9.67217944706575,160.558178821291,87.0496150235917,234.066742618991,491.34671591094
"551944","KO","2","1",241,56,80,5,75,51,110,798.16,0.516396634798873,154.919677257693,108.443774080385,9.6824798286058,145.237197429087,98.7612942517791,213.014556229327,466.695527738799
"551948","WT","1","2",253,80,69,2,67,78,106,779.42,0.504272157330532,136.830873957558,158.644491544995,3.96611228862488,132.864761668933,154.67837925637,210.203951297118,501.713204511047
"551948","WT","2","2",281,84,69,3,66,81,131,760.78,0.492212378247828,140.183390441389,170.658040537343,6.09493001919083,134.088460422198,164.563110518152,266.145277504666,570.891778464208
